DATAHORA,NUM_OCORRENCIA,COD_TIPO_OCORRENCIA,DESC_TIPO_OCORRENCIA,COD_SUBTIPO_OCORRENCIA,DESC_SUBTIPO_OCORRENCIA,BAIRRO,MUNICIPIO,ENDERECO,REFERENCIA,AREA,Y,X,LATITUDE,LONGITUDE,Ano,Mes,Dia,date,Hora_Completa,Periodo,lat,lng
20210103225745ES,M11833219,EXTORSAO,EXTORSAO,MARIADAPENHA,MARIA DA PENHA,,,,,5CIPM,908800756,21875385,-824235244545.179,-355528675623954,2021,01,03,03-01-2021,10:57:00 PM,Noite,-8.24235244545179,-35.5528675623954
20210104155310ES,M11834262,AMEACA,AMEACA,MARIADAPENHA,MARIA DA PENHA,IBURA UR II,RECIFE,R  RIO PARNAIBA 39,PAN IBURA,19BPM,910237301,28539625,-811588053068.737,-349476011730421,2021,01,04,04-01-2021,3:53:00 PM,Tarde,-8.11588053068737,-34.9476011730421
20210104160947ES,M11834280,DIRECAO1,DIRECAO DE VEICULO SEM HABILITACAO,default,,,,,,14BPM,911845930,-7606639,-794216611278.255,-382197434607745,2021,01,04,04-01-2021,4:09:00 PM,Tarde,-7.94216611278255,-38.2197434607745
20210104160626ES,M11834272,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,JARDIM PAULISTA BAIXO,PAULISTA,R  CINCO 93,IGREJA ASSEMBLEIA DE DEUS,17BPM,912105417,29018140,-79471992024.593,-349034039962688,2021,01,04,04-01-2021,4:06:00 PM,Tarde,-7.79471992024593,-34.9034039962688
20210104161058ES,M11834282,VEICULO2,VEICULO ROUBADO OU FURTADO / RECUPERADO,default,,,,,,15BPM,908755733,14916143,-824190376535.585,-36183987944523,2021,01,04,04-01-2021,4:10:00 PM,Tarde,-8.24190376535585,-36.6183987944523
20210104163110ES,M11834305,COMUNICA,COMUNICACAO FALSA DE CRIME,default,,,,,,6CIPM,911823857,22253496,-796938122535.191,-35516869655155,2021,01,04,04-01-2021,4:31:00 PM,Tarde,-7.96938122535191,-35.5516869655155
20210105235215ES,M11836184,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,JARDIM MURIBECA,JABOATÃƒO DOS GUARARAPES,R DOS CRAVOS 15,  POR TRÃS DA REGIONAL 4 ,6BPM,909778498,28325732,-815726347217.778,-349672072270852,2021,01,05,05-01-2021,11:52:00 PM,Noite,-8.15726347217778,-34.9672072270852
20210105235656ES,M11836191,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP6,PORTE,CAIUCA,CARUARU,RUA  LEAO DOURADO 2052,PROXIMO AO 1Â° BIESPE ,4BPM,908280999,16920220,-82861883923.215,-360026113597114,2021,01,05,05-01-2021,11:56:00 PM,Noite,-8.82861883923215,-36.0026113597114
20210106002946ES,M11836222,AGRESSAO,AGRESSAO,AGR1A,POR ARMA DE FOGO,,,,,22BPM,913866444,20323990,-77837231290.872,-35690574067551,2021,01,06,06-01-2021,12:29:00 AM,Madrugada,-7.77837231290872,-35.5690574067551
20210106201544ES,M11837174,AMEACA,AMEACA,AMEACA1,VERBAL,,,,,14BPM,911845930,-7606639,-794216611278.255,-382197434607745,2021,01,06,06-01-2021,8:15:00 PM,Noite,-7.94216611278255,-38.2197434607745
