lat,lng,date
-8.10252522661842,-34.9244431984645,2021-01-17
-7.79164321353201,-39.3031708886797,2021-01-17
-8.24190376607607,-36.1839878538653,2021-01-17
-7.76996308647332,-34.8984501099023,2021-01-17
-8.02395905003399,-34.9203603383262,2021-01-17
-7.68926803489769,-35.5313118657298,2021-01-17
-7.90654809946631,-34.9114903399204,2021-01-17
-9.10604026643426,-36.7473518189581,2021-01-18
-7.92039371148456,-40.1680433338936,2021-01-19
-7.92039371148456,-40.1680433338936,2021-01-19
-8.09712210288527,-35.0199674712628,2021-01-19
-8.02445919435755,-34.8682375886169,2021-01-20
-7.92623058464482,-34.8909641171778,2021-01-20
-8.01278219184704,-34.8592208667956,2021-01-20
-8.04257002943122,-34.8805568728837,2021-01-20
-8.11291062516374,-34.8955700542489,2021-01-20
-8.04490311840937,-34.4891750601555,2021-01-20
-8.06595075254462,-34.8758875418652,2021-01-20
-7.74358422564402,-37.6238668776184,2021-01-20
-9.10604026643426,-36.7473518189581,2021-01-20
-7.96938122535191,-35.5516869655155,2021-01-20
-8.67022542891995,-35.1919352274429,2021-01-21
-8.13859325172285,-34.9384890147096,2021-01-21
-9.10604026643426,-36.7473518189581,2021-01-21
-7.99734607730885,-34.9626228049108,2021-01-20
-7.98286553201256,-35.0390547163727,2021-01-21
-8.04427443865465,-34.9285771944615,2021-01-21
-9.32487779559662,-40.5196421179546,2021-01-21
-8.08678539637105,-34.9913072289222,2021-01-21
-7.77852837627672,-35.0910007452403,2021-01-20
-8.81799194331925,-34.9401408226304,2021-01-20
-8.29792520901315,-35.9576994001467,2021-01-22
-7.77837231290872,-35.5690574067551,2021-01-22
-7.64450276670007,-40.4706865367968,2021-01-24
-8.12168612207311,-34.4941621423297,2021-01-01
-8.24190376607607,-36.1839878538653,2021-01-01
-9.32487779559662,-40.5196421179546,2021-01-01
-8.01911781752572,-34.9013195778022,2021-01-01
-8.00497947916045,-34.9031527852961,2021-01-01
-9.10604026643426,-36.7473518189581,2021-01-01
-7.74250800913185,-34.4824914111831,2021-01-02
-8.76632663291361,-35.6972544458122,2021-01-03
-8.06302914541851,-34.8712570381209,2021-01-03
-7.-7927667700868,-34.8947652999574,2021-01-03
-7.94216611278255,-38.2197434607745,2021-01-03
-8.10912174694382,-34.9156957265542,2021-01-03
-8.00728641713628,-34.8953720097659,2021-01-03
-9.32487779559662,-40.5196421179546,2021-01-03
-8.41099392517145,-39.2853988578635,2021-01-03
-8.09090819896927,-34.8896025059527,2021-01-04
-7.64450276670007,-40.4706865367968,2021-01-04
-8.08322623871051,-34.9324032152924,2021-01-04
-8.09562492693242,-34.8864364746052,2021-01-05
-8.08052546600873,-34.9098761168891,2021-01-05
-8.35271818032015,-34.9559713984439,2021-01-07
-7.94769029515418,-34.8543811271951,2021-01-07
-8.06229378188346,-34.9361096398012,2021-01-07
-8.93340823928592,-38.3017194616539,2021-01-07
-8.82624610762047,-35.0479815589228,2021-01-08
-8.03054015869834,-34.9859823701863,2021-01-09
-8.05638600288374,-34.9291839128248,2021-01-09
-7.98739198555177,-34.8579487038515,2021-01-09
-9.32487779559662,-40.5196421179546,2021-01-09
-8.01473550402609,-34.9670644686585,2021-01-09
-8.01098127282714,-34.8945064198877,2021-01-10
-8.61339794743825,-39.0362866705957,2021-01-10
-8.04306685364521,-34.8739632307914,2021-01-10
-8.24235244545179,-35.5528675623954,2021-01-10
-8.12366161047596,-34.9702955445531,2021-01-10
-8.03805746931098,-34.9342251873092,2021-01-10
-8.61339794743825,-39.0362866705957,2021-01-10
-7.77837231290872,-35.5690574067551,2021-01-10
-7.93100224053031,-34.8550054399016,2021-01-10
-8.22649844784902,-35.5294568511098,2021-01-11
-7.96870860210915,-34.8405313071371,2021-01-11
-8.00438381810618,-34.9106388536338,2021-01-11
-7.99269818823703,-34.4937749895453,2021-01-11
-7.98530468852628,-35.0540549906062,2021-01-11
-7.91041975507785,-34.8996322250992,2021-01-12
-7.99785713710798,-34.8505561925007,2021-01-12
-8.21482866161072,-34.9203579803862,2021-01-13
-8.50021884520259,-37.2368407276293,2021-01-13
-7.91338027426157,-34.8366415042756,2021-01-14
-7.68926803489769,-35.5313118657298,2021-01-14
-8.13629808972106,-34.4963622950666,2021-01-14
-8.25936509045427,-36.6527829900231,2021-01-14
-8.09427481080727,-34.9708253649662,2021-01-15
-8.76632663291361,-35.6972544458122,2021-01-15
-8.07938435748682,-34.9034004286254,2021-01-16
-8.76632663291361,-35.6972544458122,2021-01-16
-8.08748345357797,-34.9756925248359,2021-01-16
-8.05776399907136,-34.9425203119195,2021-01-16
-9.32487779559662,-40.5196421179546,2021-01-16
-9.10604026643426,-36.7473518189581,2021-01-17
-8.27867503824853,-35.9749260893644,2021-01-17
-8.18085218711629,-34.9238166550494,2021-01-17
